Ciudad;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
    TOTAL;712.080;713.265;752.240;779.120;788.400;800.775;821.670;837.455;863.725;895.010
       Gran Asuncion;576.890;582.130;595.450;600.335;604.435;614.770;633.465;644.105;669.565;695.435
          Asuncion;531.610;533.675;544.250;548.445;552.335;558.410;567.405;573.340;574.815;575.595
          Fernando de la Mora;-;1.620;2.390;2.570;2.620;3.500;10.630;12.370;36.245;61.290
          San Lorenzo;22.640;23.010;23.295;23.480;23.570;23.740;24.270;25.020;25.095;25.105
          Luque;19.530;20.140;20.835;21.180;21.735;22.385;23.980;25.970;26.025;26.035
          Mariano R. Alonso;70;70;1.055;1.055;1.055;1.055;1.110;1.120;1.115;1.120
          Villa Elisa;5;5;10;10;10;10;10;10;5;10
          Limpio;-;575;525;500;10;10;10;10;15;15
          San Antonio;3.035;3.035;3.090;3.095;3.100;5.660;6.050;6.265;6.250;6.265
       Ciudades del Interior;135.190;131.135;156.790;178.785;183.965;186.005;188.205;193.350;194.160;199.575
          Encarnacion;31.705;37.545;42.770;46.220;46.665;47.305;48.130;51.070;51.385;51.800
          Concepcion;13.610;14.555;15.230;18.135;17.645;18.455;18.955;19.405;19.425;19.460
          Coronel Oviedo;25.980;21.335;27.410;27.725;29.685;29.750;30.035;30.215;30.265;30.330
          Pedro Juan Caballero;16.035;14.300;17.935;19.490;19.460;19.520;19.640;19.595;20.095;20.090
          Villarrica;19.380;16.195;20.620;20.195;22.000;22.080;22.105;23.230;23.075;23.240
          Pilar;12.340;10.945;13.210;13.115;13.710;13.730;13.890;13.775;13.770;14.025
          Ciudad del Este;4.815;4.850;5.605;5.485;5.790;5.920;6.025;6.525;6.535;6.570
          San Bernardino;5.665;5.545;6.875;6.735;6.830;6.985;7.105;7.285;7.305;7.455
          Caaguazu;5.660;5.865;7.135;21.685;22.180;22.260;22.320;22.250;22.290;22.285
          San Juan Bautista;-;-;-;-;-;-;-;-;15;4.320
